,straat,huisnr,adres,vergunning,vergund tot
43,Statensingel,174,Statensingel 174,omgevingsvergunning,2023-09-05
44,Haringpakkersstraat,189,Haringpakkersstraat 189,terrasvergunning,2026-07-04
45,Hekendorpstraat,13,Hekendorpstraat 13,exploitatievergunning,2024-04-06
46,Prattenburgplein,95,Prattenburgplein 95,alcoholvergunning,2024-04-23
47,Schielandstraat,158,Schielandstraat 158,exploitatievergunning,2027-05-05
48,Bronkhorst,151,Bronkhorst 151,exploitatievergunning,2025-04-24
49,Steupelstraat,195,Steupelstraat 195,exploitatievergunning,2023-05-27
50,ir. P. Kosterlaan,192,ir. P. Kosterlaan 192,omgevingsvergunning,2027-06-09
51,Van Lennepstraat,104,Van Lennepstraat 104,terrasvergunning,2026-06-23
52,Nieuw-Mathenesserstraat,178,Nieuw-Mathenesserstraat 178,alcoholvergunning,2023-05-28
53,Buizengat,33,Buizengat 33,exploitatievergunning,2024-10-14
54,Den Hamweg,27,Den Hamweg 27,nachthoreca,2027-04-18
55,Beijingstraat,128,Beijingstraat 128,exploitatievergunning,2023-10-25
56,Apollostraat,110,Apollostraat 110,terrasvergunning,2022-06-25
57,Geerten Gossaertstraat,108,Geerten Gossaertstraat 108,nachthoreca,2025-05-22
58,Nudenoord,140,Nudenoord 140,omgevingsvergunning,2025-01-24
59,Van Staverenstraat,101,Van Staverenstraat 101,nachthoreca,2022-10-09
60,Linker Rottekadehof,27,Linker Rottekadehof 27,omgevingsvergunning,2024-02-13
61,Cornelis Outshoornstraat,137,Cornelis Outshoornstraat 137,alcoholvergunning,2024-08-29
62,Schoonveld,134,Schoonveld 134,alcoholvergunning,2022-08-04
63,Joliotplaats,42,Joliotplaats 42,nachthoreca,2025-11-16
64,Anthonetta Kuijlstraat,49,Anthonetta Kuijlstraat 49,terrasvergunning,2023-12-25
65,2e Hogenbanweg,131,2e Hogenbanweg 131,terrasvergunning,2027-01-07
66,Ivoordistel,124,Ivoordistel 124,nachthoreca,2027-02-21
67,Pendrechtstraat,79,Pendrechtstraat 79,exploitatievergunning,2023-01-07
68,Sint-Maartensdijkstraat,21,Sint-Maartensdijkstraat 21,omgevingsvergunning,2023-04-10
69,Ovezandepad,101,Ovezandepad 101,nachthoreca,2025-08-19
70,Wilgenstraat,51,Wilgenstraat 51,terrasvergunning,2023-10-16
71,Coleman Hawkinspad,191,Coleman Hawkinspad 191,nachthoreca,2023-11-16
72,Mistralstraat,100,Mistralstraat 100,omgevingsvergunning,2025-02-02
73,Neeltje Breedveldkade,72,Neeltje Breedveldkade 72,nachthoreca,2022-08-18
74,Goudseweg,113,Goudseweg 113,exploitatievergunning,2024-03-01
75,Lombardkade,130,Lombardkade 130,exploitatievergunning,2026-04-05
76,C.D.Tuinenburgstraat,60,C.D.Tuinenburgstraat 60,nachthoreca,2022-07-28
77,Leopoldstraat,35,Leopoldstraat 35,terrasvergunning,2024-11-02
78,Vecht,132,Vecht 132,alcoholvergunning,2022-09-24
79,Abbenbroekweg,101,Abbenbroekweg 101,omgevingsvergunning,2027-03-16
80,Huniadijk,21,Huniadijk 21,exploitatievergunning,2025-11-03
81,Oude Watering,4,Oude Watering 4,omgevingsvergunning,2027-05-14
82,Lichtegaard,195,Lichtegaard 195,nachthoreca,2026-11-16
83,Tritonpad,64,Tritonpad 64,omgevingsvergunning,2024-06-27
84,Plein 1953,197,Plein 1953 197,nachthoreca,2022-08-13
85,Kedoestraat,74,Kedoestraat 74,terrasvergunning,2024-06-22
86,Christa Ehrlichhof,125,Christa Ehrlichhof 125,alcoholvergunning,2023-03-11
87,IJsclubdwarsstraat,91,IJsclubdwarsstraat 91,terrasvergunning,2024-11-06
88,Molgerdijk,46,Molgerdijk 46,nachthoreca,2026-07-14
89,Vredenoordkade,193,Vredenoordkade 193,exploitatievergunning,2023-01-08
90,De Graeffstraat,86,De Graeffstraat 86,terrasvergunning,2023-05-09
91,Donkerslootstraat,176,Donkerslootstraat 176,terrasvergunning,2026-02-18
92,Damruststraat,169,Damruststraat 169,nachthoreca,2025-12-05
93,Gijsinglaan,93,Gijsinglaan 93,omgevingsvergunning,2023-01-27
94,Akkeroord,75,Akkeroord 75,exploitatievergunning,2026-12-20
95,Duizendschoonstraat,26,Duizendschoonstraat 26,exploitatievergunning,2026-12-11
96,Struisgras,159,Struisgras 159,alcoholvergunning,2025-08-12
97,Gouvernedwarsstraat,132,Gouvernedwarsstraat 132,terrasvergunning,2024-06-11
98,Koenraad van Zwabenstraat,96,Koenraad van Zwabenstraat 96,alcoholvergunning,2024-10-11
99,Gdyniapad,13,Gdyniapad 13,alcoholvergunning,2023-08-30
100,Angstel,132,Angstel 132,exploitatievergunning,2022-10-21
101,Bergluststraat,75,Bergluststraat 75,exploitatievergunning,2026-06-02
102,Rosestraat,35,Rosestraat 35,nachthoreca,2025-08-29
103,Scheepmakerskade,153,Scheepmakerskade 153,terrasvergunning,2024-01-12
104,Adamshofstraat,105,Adamshofstraat 105,nachthoreca,2026-05-09
105,Rodenrijsestraat,60,Rodenrijsestraat 60,terrasvergunning,2023-05-09
106,Linus Paulingweg,166,Linus Paulingweg 166,terrasvergunning,2023-11-01
107,Crooswijksekade,36,Crooswijksekade 36,omgevingsvergunning,2023-11-14
108,Rietdekkerweg,107,Rietdekkerweg 107,omgevingsvergunning,2026-07-25
109,Joost van Geelstraat,135,Joost van Geelstraat 135,terrasvergunning,2022-12-08
110,Minkestraat,32,Minkestraat 32,nachthoreca,2023-11-09
111,Binnenhof,135,Binnenhof 135,exploitatievergunning,2026-09-10
112,Matlingeweg,46,Matlingeweg 46,terrasvergunning,2024-12-17
113,Edouard Jacobsstraat,69,Edouard Jacobsstraat 69,exploitatievergunning,2026-07-11
114,Clematisstraat,119,Clematisstraat 119,exploitatievergunning,2026-11-05
115,Jacobus van Vessemsingel,190,Jacobus van Vessemsingel 190,alcoholvergunning,2022-09-02
116,Bloemenlaan,65,Bloemenlaan 65,nachthoreca,2023-10-28
117,Abraham Kuyperlaan,156,Abraham Kuyperlaan 156,exploitatievergunning,2027-04-20
118,Sportsingel,141,Sportsingel 141,exploitatievergunning,2026-01-19
119,Alberto Moraviahof,154,Alberto Moraviahof 154,omgevingsvergunning,2024-10-04
120,Prins Alexanderplein,60,Prins Alexanderplein 60,alcoholvergunning,2024-03-01
121,Schulpplein,29,Schulpplein 29,nachthoreca,2023-07-11
122,Mahoniestraat,174,Mahoniestraat 174,nachthoreca,2023-05-04
123,Van Haeftenstraat,125,Van Haeftenstraat 125,terrasvergunning,2024-02-13
124,H.A. Maaskantstraat,17,H.A. Maaskantstraat 17,exploitatievergunning,2024-06-05
125,Schiedamse Vest,115,Schiedamse Vest 115,nachthoreca,2025-08-11
126,Piet van der Meerhof,64,Piet van der Meerhof 64,exploitatievergunning,2026-10-16
127,Frederikstraat,121,Frederikstraat 121,omgevingsvergunning,2023-05-15
128,Yersekestraat,197,Yersekestraat 197,exploitatievergunning,2025-11-06
129,Saffierstraat,163,Saffierstraat 163,omgevingsvergunning,2027-03-29
130,Middelharnishof,11,Middelharnishof 11,terrasvergunning,2023-03-06
131,Streepvaren,118,Streepvaren 118,alcoholvergunning,2024-12-12
132,Daan Schammerstraat,47,Daan Schammerstraat 47,alcoholvergunning,2026-10-14
133,Selma Lagerlöfweg,168,Selma Lagerlöfweg 168,nachthoreca,2022-11-15
134,Nicolaas Zasstraat,38,Nicolaas Zasstraat 38,omgevingsvergunning,2022-09-28
135,Valeriuspad,191,Valeriuspad 191,nachthoreca,2025-02-17
136,John Mottweg,55,John Mottweg 55,nachthoreca,2022-11-11
137,Saftlevenstraat,146,Saftlevenstraat 146,omgevingsvergunning,2026-12-22
138,Charley Tooropsingel,17,Charley Tooropsingel 17,omgevingsvergunning,2025-08-22
139,Santandererf,136,Santandererf 136,nachthoreca,2024-05-08
140,Kromme Wiekstraat,118,Kromme Wiekstraat 118,nachthoreca,2025-12-07
141,Poolsterplein,4,Poolsterplein 4,terrasvergunning,2025-08-05
142,Veurstraat,110,Veurstraat 110,omgevingsvergunning,2026-07-01
143,Remmet van Milplaats,118,Remmet van Milplaats 118,exploitatievergunning,2026-02-06
144,Oosterhagen,25,Oosterhagen 25,omgevingsvergunning,2023-10-02
145,Kruisstraat,174,Kruisstraat 174,nachthoreca,2024-09-19
146,Prattenburgplein,22,Prattenburgplein 22,terrasvergunning,2022-08-19
147,Van Noortwijcksingel,132,Van Noortwijcksingel 132,terrasvergunning,2024-08-06
148,Blauwemeer,58,Blauwemeer 58,nachthoreca,2024-01-12
149,2e Virulystraat,166,2e Virulystraat 166,omgevingsvergunning,2023-04-12
150,Polderstraat,30,Polderstraat 30,exploitatievergunning,2024-02-29
151,Leeuweriklaan,143,Leeuweriklaan 143,omgevingsvergunning,2027-06-08
152,Mathenesserhof,44,Mathenesserhof 44,omgevingsvergunning,2026-03-16
153,Hoendiep,40,Hoendiep 40,omgevingsvergunning,2023-09-18
154,Malvastraat,161,Malvastraat 161,terrasvergunning,2022-12-09
155,Cesar Domelastraat,162,Cesar Domelastraat 162,nachthoreca,2027-02-27
156,Wielewaalstraat,86,Wielewaalstraat 86,omgevingsvergunning,2027-03-19
157,Spiegelstraat,134,Spiegelstraat 134,terrasvergunning,2027-04-19
158,Nassaukade,150,Nassaukade 150,alcoholvergunning,2025-09-22
159,Limbrichthoek,1,Limbrichthoek 1,alcoholvergunning,2023-01-18
160,Bergse Dorpsstraat,54,Bergse Dorpsstraat 54,terrasvergunning,2022-06-22
161,Joris Minneepad,19,Joris Minneepad 19,omgevingsvergunning,2026-10-16
162,Zonnebloemstraat,175,Zonnebloemstraat 175,terrasvergunning,2026-11-19
163,Châlonsstraat,153,Châlonsstraat 153,terrasvergunning,2025-05-29
164,Oostkousdijk,16,Oostkousdijk 16,exploitatievergunning,2023-11-08
165,Italiaansestraat,111,Italiaansestraat 111,alcoholvergunning,2026-03-31
166,De Villeneuvestraat,22,De Villeneuvestraat 22,alcoholvergunning,2023-03-03
167,Sirrahstraat,58,Sirrahstraat 58,nachthoreca,2027-04-10
168,Notarisappelhof,103,Notarisappelhof 103,exploitatievergunning,2025-02-28
169,Paradijsplein,6,Paradijsplein 6,nachthoreca,2026-09-02
170,Mijlpad,73,Mijlpad 73,omgevingsvergunning,2026-11-25
171,De Jagerstraat,19,De Jagerstraat 19,exploitatievergunning,2025-10-30
172,Blijdorplaan,200,Blijdorplaan 200,exploitatievergunning,2022-11-15
173,Kleiweg,171,Kleiweg 171,alcoholvergunning,2027-02-19
174,Beerze,20,Beerze 20,terrasvergunning,2026-09-24
175,Rutger Metelerkamppad,154,Rutger Metelerkamppad 154,alcoholvergunning,2023-01-21
176,Essenlaan,110,Essenlaan 110,nachthoreca,2026-02-14
177,Graze Weitje,127,Graze Weitje 127,alcoholvergunning,2026-05-09
178,Palissanderstraat,182,Palissanderstraat 182,omgevingsvergunning,2027-06-07
179,King Pleasurepad,191,King Pleasurepad 191,exploitatievergunning,2025-03-11
180,Strausslaan,28,Strausslaan 28,nachthoreca,2025-09-16
181,Mijnsherenlaan,199,Mijnsherenlaan 199,alcoholvergunning,2024-05-18
182,Vecht,142,Vecht 142,omgevingsvergunning,2023-02-24
183,Goudsewagenstraat,29,Goudsewagenstraat 29,nachthoreca,2025-11-28
184,Anna Blamanhof,6,Anna Blamanhof 6,omgevingsvergunning,2026-10-29
185,Achterwater,116,Achterwater 116,omgevingsvergunning,2026-03-21
186,Azarooldoorn,37,Azarooldoorn 37,terrasvergunning,2023-10-25
187,Dirk de Lijsterstraat,20,Dirk de Lijsterstraat 20,nachthoreca,2023-04-25
188,Snelfilterweg,41,Snelfilterweg 41,alcoholvergunning,2026-03-03
189,Tinstraat,158,Tinstraat 158,omgevingsvergunning,2023-12-28
190,Sandhorst,71,Sandhorst 71,terrasvergunning,2025-07-21
191,Hugo Molenaarstraat,153,Hugo Molenaarstraat 153,terrasvergunning,2024-04-08
192,Hoogstraat,73,Hoogstraat 73,omgevingsvergunning,2024-06-06
193,Heerjansweg,84,Heerjansweg 84,nachthoreca,2027-03-31
194,Alblasstraat,33,Alblasstraat 33,nachthoreca,2023-06-05
195,Kerdijkstraat,123,Kerdijkstraat 123,nachthoreca,2027-05-05
196,Vilmos Huszárstraat,6,Vilmos Huszárstraat 6,nachthoreca,2025-10-11
197,Fortunastraat,133,Fortunastraat 133,nachthoreca,2023-06-01
198,Keersopstraat,108,Keersopstraat 108,nachthoreca,2025-09-15
199,Pelmolenstraat,139,Pelmolenstraat 139,omgevingsvergunning,2023-11-08
200,Peellandstraat,44,Peellandstraat 44,nachthoreca,2024-02-16
201,Portlandstraat,182,Portlandstraat 182,exploitatievergunning,2026-10-29
202,Anna van Egmondhof,20,Anna van Egmondhof 20,exploitatievergunning,2023-12-28
203,Gong,53,Gong 53,terrasvergunning,2027-05-14
204,Slangenburgerf,160,Slangenburgerf 160,exploitatievergunning,2026-09-05
205,Iepenrode,99,Iepenrode 99,terrasvergunning,2023-01-19
206,Medusastraat,23,Medusastraat 23,exploitatievergunning,2025-07-20
207,Eelkmanstraat,150,Eelkmanstraat 150,terrasvergunning,2024-09-20
208,Granadoslaan,34,Granadoslaan 34,terrasvergunning,2027-01-23
209,Merbaustraat,96,Merbaustraat 96,alcoholvergunning,2026-05-10
210,Boterdorpse Verlaat,150,Boterdorpse Verlaat 150,alcoholvergunning,2023-05-22
211,Charles de Gaullestraat,92,Charles de Gaullestraat 92,exploitatievergunning,2024-02-12
212,Delftsehof,130,Delftsehof 130,nachthoreca,2025-03-29
213,Zuiderziekenhuisstraat,28,Zuiderziekenhuisstraat 28,omgevingsvergunning,2026-07-10
214,Artemispad,24,Artemispad 24,nachthoreca,2022-12-16
215,Mauritsweg,113,Mauritsweg 113,nachthoreca,2024-03-21
216,Solingstraat,197,Solingstraat 197,terrasvergunning,2022-09-05
217,Reeweg,149,Reeweg 149,alcoholvergunning,2023-01-18
218,Kreeksehaven,71,Kreeksehaven 71,terrasvergunning,2024-05-30
219,Herman Gorterstraat,10,Herman Gorterstraat 10,nachthoreca,2022-07-09
220,Leningradweg,148,Leningradweg 148,exploitatievergunning,2023-08-07
221,Stalpaertstraat,23,Stalpaertstraat 23,nachthoreca,2026-08-03
222,Olivier van Noortstraat,166,Olivier van Noortstraat 166,omgevingsvergunning,2026-06-29
223,Hondiusstraat,176,Hondiusstraat 176,alcoholvergunning,2025-01-04
224,Baljuwplein,153,Baljuwplein 153,nachthoreca,2023-06-21
225,Louis van Roodelaan,117,Louis van Roodelaan 117,exploitatievergunning,2024-08-03
226,Wilgensingel,90,Wilgensingel 90,nachthoreca,2023-07-23
227,Dillenburglaan,170,Dillenburglaan 170,exploitatievergunning,2026-08-30
228,Elzenoord,99,Elzenoord 99,terrasvergunning,2023-12-16
229,2e Middellandstraat,24,2e Middellandstraat 24,terrasvergunning,2023-07-21
230,Zeilmakersstraat,184,Zeilmakersstraat 184,terrasvergunning,2024-04-16
231,Oleanderstraat,198,Oleanderstraat 198,alcoholvergunning,2023-01-27
232,Mertensstraat,176,Mertensstraat 176,nachthoreca,2026-03-18
233,Ruigoord,160,Ruigoord 160,terrasvergunning,2026-12-29
234,Andrej Sacharovstraat,86,Andrej Sacharovstraat 86,nachthoreca,2024-09-26
235,Gerrit van de Lindestraat,73,Gerrit van de Lindestraat 73,terrasvergunning,2023-11-20
236,Laantje van Vredebest,52,Laantje van Vredebest 52,exploitatievergunning,2026-10-08
237,Struweel,105,Struweel 105,terrasvergunning,2023-08-28
238,Sevillaweg,182,Sevillaweg 182,nachthoreca,2025-05-08
239,Brugwachter,5,Brugwachter 5,omgevingsvergunning,2026-03-16
240,Van Nideckstraat,16,Van Nideckstraat 16,omgevingsvergunning,2022-07-26
241,Meezenbroekstraat,107,Meezenbroekstraat 107,exploitatievergunning,2025-03-26
242,Van den Hoonaardstraat,57,Van den Hoonaardstraat 57,omgevingsvergunning,2026-10-20
243,Kreeksehaven,121,Kreeksehaven 121,exploitatievergunning,2025-11-04
244,Lombardhof,180,Lombardhof 180,alcoholvergunning,2023-08-16
245,Oude Kleiweg,169,Oude Kleiweg 169,exploitatievergunning,2023-12-09
246,1e Balsemienstraat,127,1e Balsemienstraat 127,exploitatievergunning,2023-05-13
247,Wildeveenstraat,178,Wildeveenstraat 178,terrasvergunning,2024-12-15
248,Tjonger,41,Tjonger 41,omgevingsvergunning,2023-09-12
249,Westewagenstraat,102,Westewagenstraat 102,exploitatievergunning,2023-10-12
250,Dosiohof,179,Dosiohof 179,nachthoreca,2027-02-13
251,Annie de Reuverhof,85,Annie de Reuverhof 85,omgevingsvergunning,2027-03-13
252,Bernard Canterstraat,103,Bernard Canterstraat 103,terrasvergunning,2024-06-15
253,Laantjesweg,90,Laantjesweg 90,terrasvergunning,2026-09-30
254,Ruitenborghstraat,90,Ruitenborghstraat 90,omgevingsvergunning,2023-05-08
255,Aalscholverstraat,18,Aalscholverstraat 18,terrasvergunning,2023-12-14
256,Voorschoterlaan,171,Voorschoterlaan 171,omgevingsvergunning,2026-10-11
257,Von Ossietzkypad,176,Von Ossietzkypad 176,nachthoreca,2024-01-12
258,Bommelerwaard,121,Bommelerwaard 121,terrasvergunning,2023-08-11
259,Luipaardstraat,101,Luipaardstraat 101,nachthoreca,2022-11-25
260,Albert Cuijpstraat,75,Albert Cuijpstraat 75,alcoholvergunning,2023-04-12
261,Gruutkamp,106,Gruutkamp 106,exploitatievergunning,2026-10-22
262,Meidoornhoek,143,Meidoornhoek 143,omgevingsvergunning,2025-01-09
263,Schulpweg,91,Schulpweg 91,terrasvergunning,2022-12-16
264,Denenburg,182,Denenburg 182,terrasvergunning,2024-01-10
265,Billie Holidaylaan,8,Billie Holidaylaan 8,omgevingsvergunning,2024-09-23
266,Wim Schuhmacherhof,78,Wim Schuhmacherhof 78,omgevingsvergunning,2025-08-19
267,Spartapark-Oost,175,Spartapark-Oost 175,exploitatievergunning,2025-01-03
268,Doezastraat,133,Doezastraat 133,exploitatievergunning,2024-05-28
269,Jan Meertensstraat,157,Jan Meertensstraat 157,omgevingsvergunning,2022-10-17
270,3e Carnissestraat,33,3e Carnissestraat 33,terrasvergunning,2025-09-14
271,Thamerdijk,80,Thamerdijk 80,omgevingsvergunning,2022-10-13
272,Elzendaal,126,Elzendaal 126,nachthoreca,2025-09-06
273,Grondherendijk,178,Grondherendijk 178,exploitatievergunning,2024-04-27
274,Jannetje Merbiskade,110,Jannetje Merbiskade 110,exploitatievergunning,2024-10-01
275,Argonautenweg,106,Argonautenweg 106,terrasvergunning,2025-01-26
276,Hugo de Grootstraat,122,Hugo de Grootstraat 122,exploitatievergunning,2027-03-08
277,Veenoord,20,Veenoord 20,nachthoreca,2023-09-04
278,Vijverhofstraat,125,Vijverhofstraat 125,nachthoreca,2025-09-24
279,Lattakia-erf,132,Lattakia-erf 132,nachthoreca,2023-03-16
280,Kortgenestraat,171,Kortgenestraat 171,alcoholvergunning,2024-02-04
281,Regge,22,Regge 22,nachthoreca,2023-07-28
282,Pandorastraat,193,Pandorastraat 193,omgevingsvergunning,2026-12-02
283,Gerard Scholtenstraat,198,Gerard Scholtenstraat 198,nachthoreca,2023-03-17
284,Ziedewijstraat,3,Ziedewijstraat 3,alcoholvergunning,2025-09-25
285,Van Speykstraat,161,Van Speykstraat 161,alcoholvergunning,2026-09-27
286,Helmbloem,105,Helmbloem 105,nachthoreca,2027-02-05
287,Hoyledestraat,25,Hoyledestraat 25,terrasvergunning,2026-12-13
288,Opzoomerstraat,165,Opzoomerstraat 165,terrasvergunning,2022-10-03
289,Ligusterweg,199,Ligusterweg 199,alcoholvergunning,2023-04-29
290,Stokroosstraat,106,Stokroosstraat 106,terrasvergunning,2027-02-21
291,Amalia van Solmslaan,183,Amalia van Solmslaan 183,alcoholvergunning,2024-10-12
292,Tsjaikofskilaan,136,Tsjaikofskilaan 136,exploitatievergunning,2023-11-20
293,Acacialaan,112,Acacialaan 112,exploitatievergunning,2025-08-16
294,'s-Gravensingel,119,'s-Gravensingel 119,nachthoreca,2023-01-03
295,Henri Laurenspad,119,Henri Laurenspad 119,nachthoreca,2024-12-25
296,Halfrond,125,Halfrond 125,terrasvergunning,2023-09-08
297,Fakkelgras,95,Fakkelgras 95,terrasvergunning,2022-11-09
298,Oppenheimstraat,134,Oppenheimstraat 134,omgevingsvergunning,2025-04-22
299,IJmeer,42,IJmeer 42,nachthoreca,2023-03-24
300,Tempelweg,173,Tempelweg 173,omgevingsvergunning,2023-08-09
301,Middenkous,66,Middenkous 66,nachthoreca,2023-12-18
302,Berkelstraat,101,Berkelstraat 101,alcoholvergunning,2023-04-23
303,Cliostraat,186,Cliostraat 186,terrasvergunning,2027-04-04
304,Merulaweg,134,Merulaweg 134,terrasvergunning,2024-12-29
305,Berglustlaan,24,Berglustlaan 24,nachthoreca,2024-05-31
306,Stuart Millstraat,164,Stuart Millstraat 164,exploitatievergunning,2025-12-27
307,Bovenstraat,71,Bovenstraat 71,nachthoreca,2026-04-02
308,1e Vijverstraat,71,1e Vijverstraat 71,terrasvergunning,2025-01-14
309,Adriaan Kluitstraat,7,Adriaan Kluitstraat 7,omgevingsvergunning,2027-02-22
310,Duivenpad,185,Duivenpad 185,terrasvergunning,2023-04-20
311,Mariënhagen,194,Mariënhagen 194,terrasvergunning,2024-09-06
312,IJsclubdwarsstraat,149,IJsclubdwarsstraat 149,exploitatievergunning,2024-12-03
313,Henegouwerlaan,178,Henegouwerlaan 178,omgevingsvergunning,2023-09-04
314,Grouw,161,Grouw 161,nachthoreca,2027-02-20
315,Arthur van Schendeldreef,149,Arthur van Schendeldreef 149,terrasvergunning,2027-06-11
316,Ellenhorst,2,Ellenhorst 2,alcoholvergunning,2023-06-07
317,Halfwegdijk,62,Halfwegdijk 62,nachthoreca,2026-03-29
318,Mariëndijk,144,Mariëndijk 144,exploitatievergunning,2023-07-19
319,Schelmeroord,180,Schelmeroord 180,alcoholvergunning,2026-03-31
320,Silenestraat,32,Silenestraat 32,alcoholvergunning,2026-01-26
321,Bramantestraat,34,Bramantestraat 34,terrasvergunning,2026-01-24
322,Herman Robbersstraat,37,Herman Robbersstraat 37,terrasvergunning,2025-07-04
323,Schinnenbaan,112,Schinnenbaan 112,alcoholvergunning,2022-08-20
324,Ruwaardstraat,79,Ruwaardstraat 79,alcoholvergunning,2022-11-02
325,Hazenakker,150,Hazenakker 150,nachthoreca,2025-09-06
326,Griseldestraat,175,Griseldestraat 175,terrasvergunning,2023-06-25
327,Meerdervoortstraat,129,Meerdervoortstraat 129,alcoholvergunning,2024-01-30
328,Exercitiestraat,106,Exercitiestraat 106,exploitatievergunning,2025-09-14
329,Gijsinglaan,137,Gijsinglaan 137,exploitatievergunning,2022-07-24
330,Zwederstraat,115,Zwederstraat 115,omgevingsvergunning,2026-07-26
331,Bergluststraat,21,Bergluststraat 21,alcoholvergunning,2027-03-20
332,Heerjansweg,93,Heerjansweg 93,exploitatievergunning,2022-12-07
333,Grondherendijk,66,Grondherendijk 66,terrasvergunning,2025-08-28
334,Jan Sirksstraat,119,Jan Sirksstraat 119,exploitatievergunning,2024-10-16
335,Rosier Faassenstraat,83,Rosier Faassenstraat 83,exploitatievergunning,2023-01-08
336,Stockholmpad,80,Stockholmpad 80,omgevingsvergunning,2024-05-22
337,Koenraad van Zwabenstraat,111,Koenraad van Zwabenstraat 111,exploitatievergunning,2027-03-29
338,Ocarina,161,Ocarina 161,nachthoreca,2025-06-06
339,Groenezoom,165,Groenezoom 165,nachthoreca,2023-08-28
340,Boezemstraat,4,Boezemstraat 4,alcoholvergunning,2025-11-25
341,Nicolaas Zasstraat,10,Nicolaas Zasstraat 10,exploitatievergunning,2026-02-23
342,Sapphostraat,131,Sapphostraat 131,exploitatievergunning,2024-05-27
343,Kraayenstein,154,Kraayenstein 154,exploitatievergunning,2023-04-21
344,Loowaerdstraat,134,Loowaerdstraat 134,exploitatievergunning,2022-09-16
345,Benedictuskruid,181,Benedictuskruid 181,exploitatievergunning,2023-03-13
346,Balkenstraat,35,Balkenstraat 35,exploitatievergunning,2023-06-25
347,Lexmondpad,71,Lexmondpad 71,omgevingsvergunning,2024-07-08
348,2e Stampioendwarsstraat,88,2e Stampioendwarsstraat 88,exploitatievergunning,2024-10-21
349,Godijn van Dormaalstraat,79,Godijn van Dormaalstraat 79,alcoholvergunning,2027-04-19
